id,name,deep_link,compartment_id,defined_tags,description,freeform_tags,inactive_status,is_accessible,lifecycle_state,time_created,region,extract_date
ocid1.compartment.oc1..aaaaaaaa7pkn3xjpw3pssgnn4laqb6uqyf6mths3mjczbwdggjztbkg4ukaq,ARCS-Prod,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaa7pkn3xjpw3pssgnn4laqb6uqyf6mths3mjczbwdggjztbkg4ukaq"",""ARCS-Prod"")",ocid1.compartment.oc1..aaaaaaaag72vf4jjyqz6sl7muypmjfo7xomkfutdllhzgrluicw6mj7if3eq,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:31.541Z'}}",ARCS Production Environment,"{'ManagedBy': 'Terraform', 'Compliance': 'SOX', 'Environment': 'Production', 'Application': 'ARCS'}",,,ACTIVE,2025-10-06T16:46:32,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.compartment.oc1..aaaaaaaa3poe4pnuipvcwaoxawjjuokavyxnhaj5dobxzn4yrv5gk2cvchuq,Freeform,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaa3poe4pnuipvcwaoxawjjuokavyxnhaj5dobxzn4yrv5gk2cvchuq"",""Freeform"")",ocid1.compartment.oc1..aaaaaaaaorxnl2f4flbk7syqtmtjjlfsoqrxcpscer5o2ugqas5y2bzikd2q,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:31.131Z'}}",Freeform Planning - Future Migration,"{'ManagedBy': 'Terraform', 'Environment': 'Parked', 'Application': 'Freeform'}",,,ACTIVE,2025-10-06T16:46:31,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.compartment.oc1..aaaaaaaavsdyzflibswkgcktzclurxc6qmhwktx2vkowwngwuju63lbaztda,Database,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaavsdyzflibswkgcktzclurxc6qmhwktx2vkowwngwuju63lbaztda"",""Database"")",ocid1.compartment.oc1..aaaaaaaa4uusddslw5eaxi6pdjf3upxq4ga4wi3tzimjr2urwtwfappcmglq,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:18.297Z'}}","Database resources - Autonomous DB, MySQL, NoSQL (Future Use)","{'Status': 'Reserved-Future-Use', 'ManagedBy': 'Terraform', 'CISCompliant': 'true', 'Purpose': 'Database-Infrastructure', 'CIS': 'Database-Isolation'}",,,ACTIVE,2025-10-06T16:46:18,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.compartment.oc1..aaaaaaaag72vf4jjyqz6sl7muypmjfo7xomkfutdllhzgrluicw6mj7if3eq,ARCS,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaag72vf4jjyqz6sl7muypmjfo7xomkfutdllhzgrluicw6mj7if3eq"",""ARCS"")",ocid1.compartment.oc1..aaaaaaaa3clwyuzp5mtkrlbvce7c42tgv3jhmgbq72ochhp5euy7jraixiwq,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:20.591Z'}}",Account Reconciliation Cloud Service,{'ManagedBy': 'Terraform'},,,ACTIVE,2025-10-06T16:46:20,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.tenancy.oc1..aaaaaaaalmgnna3x4zje3z2373atkihy4oqit5uml24yt7tdyrew3fw3vrlq,panog792,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.tenancy.oc1..aaaaaaaalmgnna3x4zje3z2373atkihy4oqit5uml24yt7tdyrew3fw3vrlq"",""panog792"")",(root),{},panog792,{},,,,,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.compartment.oc1..aaaaaaaad5ck7xdu6473ycmlpoif2skqvoveifcmvfiwp2rjmt5r67axlirq,ARCS-Test,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaad5ck7xdu6473ycmlpoif2skqvoveifcmvfiwp2rjmt5r67axlirq"",""ARCS-Test"")",ocid1.compartment.oc1..aaaaaaaag72vf4jjyqz6sl7muypmjfo7xomkfutdllhzgrluicw6mj7if3eq,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:31.554Z'}}",ARCS Test/UAT Environment,"{'ManagedBy': 'Terraform', 'Environment': 'Test', 'Application': 'ARCS'}",,,ACTIVE,2025-10-06T16:46:32,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.compartment.oc1..aaaaaaaa4uusddslw5eaxi6pdjf3upxq4ga4wi3tzimjr2urwtwfappcmglq,IaaS-Root,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaa4uusddslw5eaxi6pdjf3upxq4ga4wi3tzimjr2urwtwfappcmglq"",""IaaS-Root"")",ocid1.tenancy.oc1..aaaaaaaalmgnna3x4zje3z2373atkihy4oqit5uml24yt7tdyrew3fw3vrlq,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:03.194Z'}}",Root compartment for infrastructure resources (future use) - CIS compliant structure,"{'ManagedBy': 'Terraform', 'CISCompliant': 'true', 'Purpose': 'IaaS-Infrastructure'}",,,ACTIVE,2025-10-06T16:46:03,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.compartment.oc1..aaaaaaaa6mxrb4js36i2bwfqmejedrpmdveoljsfud3xhoap35ehfrxplm3q,Planning,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaa6mxrb4js36i2bwfqmejedrpmdveoljsfud3xhoap35ehfrxplm3q"",""Planning"")",ocid1.compartment.oc1..aaaaaaaaorxnl2f4flbk7syqtmtjjlfsoqrxcpscer5o2ugqas5y2bzikd2q,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:31.521Z'}}",Oracle Planning Cloud - Future Migration,"{'ManagedBy': 'Terraform', 'Environment': 'Parked', 'Application': 'Planning'}",,,ACTIVE,2025-10-06T16:46:31,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.compartment.oc1..aaaaaaaanwrcsesv757ahahgvruaptey55tkvvplhzhii2xt2bidfbw5wm2a,shared-services,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaanwrcsesv757ahahgvruaptey55tkvvplhzhii2xt2bidfbw5wm2a"",""shared-services"")",ocid1.tenancy.oc1..aaaaaaaalmgnna3x4zje3z2373atkihy4oqit5uml24yt7tdyrew3fw3vrlq,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:03.189Z'}}","Compartment for shared OCI services including Cloud Guard, logging, and monitoring","{'ManagedBy': 'Terraform', 'Environment': 'Production', 'Purpose': 'Shared-Services'}",,,ACTIVE,2025-10-06T16:46:03,eu-frankfurt-1,2025-10-07T08:27:39
ocid1.compartment.oc1..aaaaaaaaorxnl2f4flbk7syqtmtjjlfsoqrxcpscer5o2ugqas5y2bzikd2q,Other-EPM,"=HYPERLINK(""https://cloud.oracle.com/identity/compartments/ocid1.compartment.oc1..aaaaaaaaorxnl2f4flbk7syqtmtjjlfsoqrxcpscer5o2ugqas5y2bzikd2q"",""Other-EPM"")",ocid1.compartment.oc1..aaaaaaaa3clwyuzp5mtkrlbvce7c42tgv3jhmgbq72ochhp5euy7jraixiwq,"{'Oracle-Tags': {'CreatedBy': 'default/panog792@gmail.com', 'CreatedOn': '2025-10-06T16:46:21.341Z'}}","Other EPM Applications (Planning, EDMCS, Freeform) - Parked",{'ManagedBy': 'Terraform'},,,ACTIVE,2025-10-06T16:46:21,eu-frankfurt-1,2025-10-07T08:27:39
