Recommendation #,Section,Level,Compliant,Findings,Compliant Items,Total,Compliance Percentage Per Recommendation,Title,CIS v8,CCCS Guard Rail,Filename,Remediation,extract_date
1.1,Identity and Access Management,1,No,1,9,10,90%,Ensure service level admins are created to manage resources of particular service,"['5.4', '6.7']","2,3",cis_Identity_and_Access_Management_1-1.csv,Refer to the policy syntax document and create new policies if the audit results indicate that the required policies are missing.,2025-10-16T14:23:33
1.2,Identity and Access Management,1,No,1,9,10,90%,Ensure permissions on all resources are given only to the tenancy administrator group,['3.3'],"1,2,3",cis_Identity_and_Access_Management_1-2.csv,Remove any policy statement that allows any group other than Administrators or any service access to manage all resources in the tenancy.,2025-10-16T14:23:33
1.3,Identity and Access Management,1,No,1,9,10,90%,Ensure IAM administrators cannot update tenancy Administrators group,"['3.3', '5.4']","2,3",cis_Identity_and_Access_Management_1-3.csv,Verify the results to ensure that the policy statements that grant access to use or manage users or groups in the tenancy have a condition that excludes access to Administrators group or to users in the Administrators group.,2025-10-16T14:23:33
1.4,Identity and Access Management,1,Yes, ,1,1,100%,Ensure IAM password policy requires minimum length of 14 or greater,"['4.1', '5.2']","2,3", ,"Update the password policy such as minimum length to 14, password must contain expected special characters and numeric characters.",2025-10-16T14:23:33
1.5,Identity and Access Management,1,Yes, ,1,1,100%,Ensure IAM password policy expires passwords within 365 days,"['4.1', '5.2']","2,3", ,Update the password policy by setting number of days configured in Expires after to 365.,2025-10-16T14:23:33
1.6,Identity and Access Management,1,No,1,0,1,0%,Ensure IAM password policy prevents password reuse,['5.2'],"2,3",cis_Identity_and_Access_Management_1-6.csv,Update the number of remembered passwords in previous passwords remembered setting to 24 in the password policy.,2025-10-16T14:23:33
1.7,Identity and Access Management,1,Yes, ,1,1,100%,Ensure MFA is enabled for all users with a console password,"['6.3', '6.5']","1,2,3,4", ,"Each user must enable MFA for themselves using a device they will have access to every time they sign in. An administrator cannot enable MFA for another user but can enforce MFA by identifying the list of non-complaint users, notifying them or disabling access by resetting password for non-complaint accounts.",2025-10-16T14:23:33
1.8,Identity and Access Management,1,Yes, ,1,1,100%,Ensure user API keys rotate within 90 days or less,"['4.1', '4.4']","6,7", ,Delete any API Keys with a date of 90 days or older under the Created column of the API Key table.,2025-10-16T14:23:33
1.9,Identity and Access Management,1,Yes, ,0, ,100%,Ensure user customer secret keys rotate within 90 days or less,"['4.1', '5.2']","6,7", ,Delete any Access Keys with a date of 90 days or older under the Created column of the Customer Secret Keys.,2025-10-16T14:23:33
1.10,Identity and Access Management,1,Yes, ,0, ,100%,Ensure user auth tokens rotate within 90 days or less,"['4.1', '5.2']","6,7", ,Delete any auth token with a date of 90 days or older under the Created column of the Auth Tokens.,2025-10-16T14:23:33
1.11,Identity and Access Management,1,Yes, ,0, ,100%,Ensure user IAM Database Passwords rotate within 90 days,['5.4'],, ,Delete any database password with a date of 90 days or older under the Created column of the Database Password.,2025-10-16T14:23:33
1.12,Identity and Access Management,1,No,1,0,1,0%,Ensure API keys are not created for tenancy administrator users,['5.4'],"6,7",cis_Identity_and_Access_Management_1-12.csv,"For each tenancy administrator user who has an API key,select API Keys from the menu and delete any associated keys from the API Keys table.",2025-10-16T14:23:33
1.13,Identity and Access Management,1,Yes, ,1,1,100%,Ensure all OCI IAM user accounts have a valid and current email address,['5.1'],"1,2,3", ,Update the current email address in the email text box on exch non compliant user.,2025-10-16T14:23:33
1.14,Identity and Access Management,1,Yes, ,0, ,100%,"Ensure Instance Principal authentication is used for OCI instances, OCI Cloud Databases and OCI Functions to access OCI resources.",['6.8'],"6,7", ,"Create Dynamic group and Enter Matching Rules to that includes the instances accessing your OCI resources. Refer: ""https://docs.oracle.com/en-us/iaas/Content/Identity/Tasks/managingdynamicgroups.htm"".",2025-10-16T14:23:33
1.15,Identity and Access Management,2,No,1,9,10,90%,Ensure storage service-level admins cannot delete resources they manage,"['5.4', '6.8']","2,3",cis_Identity_and_Access_Management_1-15.csv,Add the appropriate where condition to any policy statement that allows the storage service-level to manage the storage service.,2025-10-16T14:23:33
1.16,Identity and Access Management,1,No,1,0,1,0%,Ensure OCI IAM credentials unused for 45 days or more are disabled,['5.3'],2,cis_Identity_and_Access_Management_1-16.csv,Deactivate OCI IAM Local users or delete of an OCI API Key will remove access to OCI,2025-10-16T14:23:33
1.17,Identity and Access Management,1,Yes, ,1,1,100%,Ensure there is only one active API Key for any single OCI IAM user.,['5'],2, ,Remove one of the API Keys.,2025-10-16T14:23:33
2.1,Networking,1,Yes, ,0, ,100%,Ensure no security lists allow ingress from 0.0.0.0/0 to port 22.,"['4.4', '12.3']","2,3,5,7,9", ,"For each security list in the returned results, click the security list name. Either edit the ingress rule to be more restrictive, delete the ingress rule or click on the VCN and terminate the security list as appropriate.",2025-10-16T14:23:33
2.2,Networking,1,Yes, ,0, ,100%,Ensure no security lists allow ingress from 0.0.0.0/0 to port 3389.,"['4.4', '12.3']","2,3,5,7,9", ,"For each security list in the returned results, click the security list name. Either edit the ingress rule to be more restrictive, delete the ingress rule or click on the VCN and terminate the security list as appropriate.",2025-10-16T14:23:33
2.3,Networking,1,Yes, ,0, ,100%,Ensure no network security groups allow ingress from 0.0.0.0/0 to port 22.,"['4.4', '12.3']","2,3,5,7,9", ,Using the details returned from the audit procedure either Remove the security rules or Update the security rules.,2025-10-16T14:23:33
2.4,Networking,1,Yes, ,0, ,100%,Ensure no network security groups allow ingress from 0.0.0.0/0 to port 3389.,"['4.4', '12.3']","2,3,5,7,9", ,Using the details returned from the audit procedure either Remove the security rules or Update the security rules.,2025-10-16T14:23:33
2.5,Networking,1,Yes, ,0, ,100%,Ensure the default security list of every VCN restricts all traffic except ICMP within VCN.,['12.3'],"2,3,5,7,9", ,"For updating an existing environment, care should be taken to ensure that administrators currently relying on an existing ingress from 0.0.0.0/0 have access to port 22 through another network security group and servers have egress to specified ports and protocols through another network security group.",2025-10-16T14:23:33
2.6,Networking,1,Yes, ,0, ,100%,Ensure Oracle Integration Cloud (OIC) access is restricted to allowed sources.,"['4.4', '12.3']","2,3,5,7,9", ,"For each OIC instance in the returned results, select the OIC Instance name,edit the Network Access to be more restrictive.",2025-10-16T14:23:33
2.7,Networking,1,Yes, ,0, ,100%,Ensure Oracle Analytics Cloud (OAC) access is restricted to allowed sources or deployed within a Virtual Cloud Network.,"['4.4', '12.3']","2,3,5,7,9", ,"For each OAC instance in the returned results, select the OAC Instance name edit the Access Control Rules by clicking +Another Rule and add rules as required.",2025-10-16T14:23:33
2.8,Networking,1,Yes, ,0, ,100%,Ensure Oracle Autonomous Shared Database (ADB) access is restricted or deployed within a VCN.,"['4.4', '12.3']","2,3,5,7,9", ,"For each ADB-S database in the returned results, select the ADB-S database name edit the Access Control Rules by clicking +Another Rule and add rules as required.",2025-10-16T14:23:33
3.1,Compute,2,Yes, ,0, ,100%,Ensure Compute Instance Legacy Metadata service endpoint is disabled.,['4.6'],, ,"For each instance select the instance name, under the Instance Details section, next to Instance Metadata Service, click Edit and for the Instance metadata service, select the Version 2 only option.",2025-10-16T14:23:33
3.2,Compute,2,Yes, ,0, ,100%,Ensure Secure Boot is enabled on Compute Instance.,['4.1'],, ,Terminate the old instance. Create a new instance and ensure on Secure Boot is toggled on under the Security section.,2025-10-16T14:23:33
